time,task_id,reward,selected_agent,selected_vm,selected_prb_ratio,done,mask_0,mask_1,mask_2,mask_3,mask_4,a0_score,a0_prb,a1_score,a1_prb,a2_score,a2_prb,a3_score,a3_prb,a4_score,a4_prb,s_0_0,s_0_1,s_0_2,s_0_3,s_0_4,s_0_5,s_0_6,s_0_7,s_0_8,s_0_9,s_0_10,s_0_11,s_1_0,s_1_1,s_1_2,s_1_3,s_1_4,s_1_5,s_1_6,s_1_7,s_1_8,s_1_9,s_1_10,s_1_11,s_2_0,s_2_1,s_2_2,s_2_3,s_2_4,s_2_5,s_2_6,s_2_7,s_2_8,s_2_9,s_2_10,s_2_11,s_3_0,s_3_1,s_3_2,s_3_3,s_3_4,s_3_5,s_3_6,s_3_7,s_3_8,s_3_9,s_3_10,s_3_11,s_4_0,s_4_1,s_4_2,s_4_3,s_4_4,s_4_5,s_4_6,s_4_7,s_4_8,s_4_9,s_4_10,s_4_11,s_next_0_0,s_next_0_1,s_next_0_2,s_next_0_3,s_next_0_4,s_next_0_5,s_next_0_6,s_next_0_7,s_next_0_8,s_next_0_9,s_next_0_10,s_next_0_11,s_next_1_0,s_next_1_1,s_next_1_2,s_next_1_3,s_next_1_4,s_next_1_5,s_next_1_6,s_next_1_7,s_next_1_8,s_next_1_9,s_next_1_10,s_next_1_11,s_next_2_0,s_next_2_1,s_next_2_2,s_next_2_3,s_next_2_4,s_next_2_5,s_next_2_6,s_next_2_7,s_next_2_8,s_next_2_9,s_next_2_10,s_next_2_11,s_next_3_0,s_next_3_1,s_next_3_2,s_next_3_3,s_next_3_4,s_next_3_5,s_next_3_6,s_next_3_7,s_next_3_8,s_next_3_9,s_next_3_10,s_next_3_11,s_next_4_0,s_next_4_1,s_next_4_2,s_next_4_3,s_next_4_4,s_next_4_5,s_next_4_6,s_next_4_7,s_next_4_8,s_next_4_9,s_next_4_10,s_next_4_11
60.0000,2100,8.182800,2,48,0.200000,0,1,1,1,1,1,1,8,4,10,10,2,2,0,9,10,1.000000,0.600000,0.000000,0.000000,0.480000,0.864124,1.000000,0.000000,0.000000,0.000000,1.000000,0.019769,1.000000,0.600000,0.000000,0.000000,0.480000,0.869253,1.000000,0.000000,0.000000,0.000000,1.000000,0.019769,1.000000,0.600000,0.000000,0.000000,0.480000,0.352830,1.000000,0.000000,0.000000,0.000000,1.000000,0.019769,1.000000,0.600000,0.000000,0.000000,0.480000,0.365209,1.000000,0.000000,0.000000,0.000000,1.000000,0.019769,1.000000,0.600000,0.000000,0.000000,1.200000,1.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.019769,1.000000,0.600000,0.000000,0.000000,0.480000,0.864124,0.999000,0.000481,0.000000,0.000000,1.000000,0.021417,1.000000,0.600000,0.000000,0.000000,0.480000,0.869253,0.999000,0.000481,0.000000,0.000000,1.000000,0.021417,1.000000,0.600000,0.001923,0.000000,0.480000,0.352830,0.999000,0.000481,0.000000,0.000000,1.000000,0.021417,1.000000,0.600000,0.000000,0.000000,0.480000,0.365209,0.999000,0.000481,0.000000,0.000000,1.000000,0.021417,1.000000,0.600000,0.000000,0.000000,1.200000,1.000000,0.999000,0.000481,0.000000,1.000000,0.000000,0.021417
66.0000,1500,8.181819,2,48,0.600000,0,1,1,1,1,1,5,1,3,4,8,6,4,0,4,9,1.000000,0.600000,0.000000,0.000000,0.480000,0.949011,0.999000,0.000473,0.000000,0.000000,1.000000,0.021746,1.000000,0.600000,0.000000,0.000000,0.480000,0.910775,0.999000,0.000473,0.000000,0.000000,1.000000,0.021746,1.000000,0.600000,0.001894,0.000000,0.480000,0.435329,0.999000,0.000473,0.000000,0.000000,1.000000,0.021746,1.000000,0.600000,0.000000,0.000000,0.480000,0.344093,0.999000,0.000473,0.000000,0.000000,1.000000,0.021746,1.000000,0.600000,0.000000,0.000000,1.200000,1.000000,0.999000,0.000473,0.000000,1.000000,0.000000,0.021746,1.000000,0.600000,0.000000,0.000000,0.480000,0.949011,0.997000,0.001320,0.000000,0.000000,1.000000,0.023394,1.000000,0.600000,0.000000,0.000000,0.480000,0.910775,0.997000,0.001320,0.000000,0.000000,1.000000,0.023394,1.000000,0.600000,0.005282,0.010000,0.480000,0.435329,0.997000,0.001320,0.000000,0.000000,1.000000,0.023394,1.000000,0.600000,0.000000,0.000000,0.480000,0.344093,0.997000,0.001320,0.000000,0.000000,1.000000,0.023394,1.000000,0.600000,0.000000,0.000000,1.200000,1.000000,0.997000,0.001320,0.000000,1.000000,0.000000,0.023394
66.0000,1900,8.015177,2,49,0.100000,0,1,1,1,1,1,5,7,0,8,10,1,7,3,6,10,1.000000,0.600000,0.000000,0.000000,0.480000,0.822814,0.999000,0.000473,0.000000,0.000000,1.000000,0.021746,1.000000,0.600000,0.000000,0.000000,0.480000,0.453774,0.999000,0.000473,0.000000,0.000000,1.000000,0.021746,1.000000,0.600000,0.001894,0.010000,0.480000,0.719043,0.999000,0.000473,0.000000,0.000000,1.000000,0.021746,1.000000,0.600000,0.000000,0.000000,0.480000,0.214269,0.999000,0.000473,0.000000,0.000000,1.000000,0.021746,1.000000,0.600000,0.000000,0.000000,1.200000,1.000000,0.999000,0.000473,0.000000,1.000000,0.000000,0.021746,1.000000,0.600000,0.000000,0.000000,0.480000,0.822814,0.997000,0.001284,0.000000,0.000000,1.000000,0.024053,1.000000,0.600000,0.000000,0.000000,0.480000,0.453774,0.997000,0.001284,0.000000,0.000000,1.000000,0.024053,1.000000,0.600000,0.005137,0.000000,0.480000,0.719043,0.997000,0.001284,0.000000,0.000000,1.000000,0.024053,1.000000,0.600000,0.000000,0.000000,0.480000,0.214269,0.997000,0.001284,0.000000,0.000000,1.000000,0.024053,1.000000,0.600000,0.000000,0.000000,1.200000,1.000000,0.997000,0.001284,0.000000,1.000000,0.000000,0.024053
75.0000,2101,8.181321,4,0,0.600000,0,1,1,1,1,1,1,9,1,0,2,2,3,9,9,6,1.000000,0.600000,0.000000,0.010000,0.480000,0.864124,0.997000,0.001250,0.000000,0.000000,1.000000,0.024712,1.000000,0.600000,0.000000,0.000000,0.480000,0.869253,0.997000,0.001250,0.000000,0.000000,1.000000,0.024712,1.000000,0.600000,0.005000,0.000000,0.480000,0.352830,0.997000,0.001250,0.000000,0.000000,1.000000,0.024712,1.000000,0.600000,0.000000,0.000000,0.480000,0.365209,0.997000,0.001250,0.000000,0.000000,1.000000,0.024712,1.000000,0.600000,0.000000,0.000000,1.200000,1.000000,0.997000,0.001250,0.000000,1.000000,0.000000,0.024712,1.000000,0.600000,0.000000,0.010000,0.480000,0.864124,0.994000,0.001172,0.000625,0.000000,1.000000,0.026359,1.000000,0.600000,0.000000,0.000000,0.480000,0.869253,0.994000,0.001172,0.000625,0.000000,1.000000,0.026359,1.000000,0.600000,0.004688,0.010000,0.480000,0.352830,0.994000,0.001172,0.000625,0.000000,1.000000,0.026359,1.000000,0.600000,0.000000,0.000000,0.480000,0.365209,0.994000,0.001172,0.000625,0.000000,1.000000,0.026359,1.000000,0.600000,0.000625,0.000000,1.200000,1.000000,0.994000,0.001172,0.000625,1.000000,0.000000,0.026359
85.0000,1100,-4.902441,0,17,0.000000,0,1,1,1,1,1,9,0,2,8,6,6,5,5,6,2,1.000000,0.600000,0.000000,0.010000,0.480000,0.554578,0.991000,0.001838,0.000588,0.000000,1.000000,0.028007,1.000000,0.600000,0.001471,0.010000,0.480000,0.323879,0.991000,0.001838,0.000588,0.000000,1.000000,0.028007,1.000000,0.600000,0.004412,0.010000,0.480000,0.627850,0.991000,0.001838,0.000588,0.000000,1.000000,0.028007,1.000000,0.600000,0.001471,0.000000,0.480000,0.437649,0.991000,0.001838,0.000588,0.000000,1.000000,0.028007,1.000000,0.600000,0.000588,0.010000,1.200000,1.000000,0.991000,0.001838,0.000588,1.000000,0.000000,0.028007,1.000000,0.600000,0.000000,0.020000,0.480000,0.554578,0.991000,0.001838,0.000588,0.000000,1.000000,0.028007,1.000000,0.600000,0.001471,0.010000,0.480000,0.323879,0.991000,0.001838,0.000588,0.000000,1.000000,0.028007,1.000000,0.600000,0.004412,0.010000,0.480000,0.627850,0.991000,0.001838,0.000588,0.000000,1.000000,0.028007,1.000000,0.600000,0.001471,0.000000,0.480000,0.437649,0.991000,0.001838,0.000588,0.000000,1.000000,0.028007,1.000000,0.600000,0.000588,0.010000,1.200000,1.000000,0.991000,0.001838,0.000588,1.000000,0.000000,0.028007
81.0000,1501,8.180900,3,64,0.900000,0,1,1,1,1,1,7,0,7,5,8,9,9,9,4,1,1.000000,0.600000,0.000000,0.010000,0.480000,0.949011,0.994000,0.001157,0.000617,0.000000,1.000000,0.026689,1.000000,0.600000,0.000000,0.000000,0.480000,0.910775,0.994000,0.001157,0.000617,0.000000,1.000000,0.026689,1.000000,0.600000,0.004630,0.010000,0.480000,0.435329,0.994000,0.001157,0.000617,0.000000,1.000000,0.026689,1.000000,0.600000,0.000000,0.000000,0.480000,0.344093,0.994000,0.001157,0.000617,0.000000,1.000000,0.026689,1.000000,0.600000,0.000617,0.000000,1.200000,1.000000,0.994000,0.001157,0.000617,1.000000,0.000000,0.026689,1.000000,0.600000,0.000000,0.020000,0.480000,0.949011,0.991000,0.001817,0.000581,0.000000,1.000000,0.028336,1.000000,0.600000,0.001453,0.000000,0.480000,0.910775,0.991000,0.001817,0.000581,0.000000,1.000000,0.028336,1.000000,0.600000,0.004360,0.010000,0.480000,0.435329,0.991000,0.001817,0.000581,0.000000,1.000000,0.028336,1.000000,0.600000,0.001453,0.000000,0.480000,0.344093,0.991000,0.001817,0.000581,0.000000,1.000000,0.028336,1.000000,0.600000,0.000581,0.010000,1.200000,1.000000,0.991000,0.001817,0.000581,1.000000,0.000000,0.028336
81.0000,1901,8.097574,1,32,1.000000,0,1,1,1,1,1,7,5,9,10,1,7,5,8,2,10,1.000000,0.600000,0.000000,0.010000,0.480000,0.822814,0.994000,0.001157,0.000617,0.000000,1.000000,0.026689,1.000000,0.600000,0.000000,0.000000,0.480000,0.453774,0.994000,0.001157,0.000617,0.000000,1.000000,0.026689,1.000000,0.600000,0.004630,0.010000,0.480000,0.719043,0.994000,0.001157,0.000617,0.000000,1.000000,0.026689,1.000000,0.600000,0.000000,0.010000,0.480000,0.214269,0.994000,0.001157,0.000617,0.000000,1.000000,0.026689,1.000000,0.600000,0.000617,0.000000,1.200000,1.000000,0.994000,0.001157,0.000617,1.000000,0.000000,0.026689,1.000000,0.600000,0.000000,0.020000,0.480000,0.822814,0.991000,0.001796,0.000575,0.000000,1.000000,0.028666,1.000000,0.600000,0.001437,0.000000,0.480000,0.453774,0.991000,0.001796,0.000575,0.000000,1.000000,0.028666,1.000000,0.600000,0.004310,0.010000,0.480000,0.719043,0.991000,0.001796,0.000575,0.000000,1.000000,0.028666,1.000000,0.600000,0.001437,0.000000,0.480000,0.214269,0.991000,0.001796,0.000575,0.000000,1.000000,0.028666,1.000000,0.600000,0.000575,0.010000,1.200000,1.000000,0.991000,0.001796,0.000575,1.000000,0.000000,0.028666
90.0000,2102,8.096749,0,18,0.700000,0,1,1,1,1,1,8,7,6,7,1,8,0,0,6,0,1.000000,0.600000,0.000000,0.020000,0.480000,0.864124,0.991000,0.001736,0.000556,0.000000,1.000000,0.029654,1.000000,0.600000,0.001389,0.000000,0.480000,0.869253,0.991000,0.001736,0.000556,0.000000,1.000000,0.029654,1.000000,0.600000,0.004167,0.020000,0.480000,0.352830,0.991000,0.001736,0.000556,0.000000,1.000000,0.029654,1.000000,0.600000,0.001389,0.000000,0.480000,0.365209,0.991000,0.001736,0.000556,0.000000,1.000000,0.029654,1.000000,0.600000,0.000556,0.010000,1.200000,1.000000,0.991000,0.001736,0.000556,1.000000,0.000000,0.029654,1.000000,0.600000,0.001302,0.030000,0.480000,0.864124,0.986000,0.001953,0.000521,0.000000,1.000000,0.031631,1.000000,0.600000,0.001302,0.000000,0.480000,0.869253,0.986000,0.001953,0.000521,0.000000,1.000000,0.031631,1.000000,0.600000,0.003906,0.030000,0.480000,0.352830,0.986000,0.001953,0.000521,0.000000,1.000000,0.031631,1.000000,0.600000,0.001302,0.000000,0.480000,0.365209,0.986000,0.001953,0.000521,0.000000,1.000000,0.031631,1.000000,0.600000,0.000521,0.020000,1.200000,1.000000,0.986000,0.001953,0.000521,1.000000,0.000000,0.031631
94.0000,2300,8.012455,2,50,0.200000,0,0,1,1,1,1,2,7,5,9,10,2,4,7,3,5,1.000000,0.600000,0.001330,0.040000,0.480000,1.040534,0.988000,0.001995,0.000532,0.000000,1.000000,0.030972,1.000000,0.600000,0.001330,0.000000,0.480000,0.531706,0.988000,0.001995,0.000532,0.000000,1.000000,0.030972,1.000000,0.600000,0.003989,0.020000,0.480000,0.955940,0.988000,0.001995,0.000532,0.000000,1.000000,0.030972,1.000000,0.600000,0.001330,0.000000,0.480000,0.337375,0.988000,0.001995,0.000532,0.000000,1.000000,0.030972,1.000000,0.600000,0.000532,0.020000,1.200000,1.000000,0.988000,0.001995,0.000532,1.000000,0.000000,0.030972,1.000000,0.600000,0.001238,0.030000,0.480000,1.040534,0.983000,0.002785,0.000495,0.000000,1.000000,0.033278,1.000000,0.600000,0.002475,0.010000,0.480000,0.531706,0.983000,0.002785,0.000495,0.000000,1.000000,0.033278,1.000000,0.600000,0.006188,0.040000,0.480000,0.955940,0.983000,0.002785,0.000495,0.000000,1.000000,0.033278,1.000000,0.600000,0.001238,0.000000,0.480000,0.337375,0.983000,0.002785,0.000495,0.000000,1.000000,0.033278,1.000000,0.600000,0.000495,0.020000,1.200000,1.000000,0.983000,0.002785,0.000495,1.000000,0.000000,0.033278
96.0000,1902,8.095796,2,51,0.900000,0,1,1,1,1,1,7,8,4,3,10,9,4,1,3,1,1.000000,0.600000,0.001302,0.030000,0.480000,0.822814,0.986000,0.001953,0.000521,0.000000,1.000000,0.031631,1.000000,0.600000,0.001302,0.010000,0.480000,0.453774,0.986000,0.001953,0.000521,0.000000,1.000000,0.031631,1.000000,0.600000,0.003906,0.030000,0.480000,0.719043,0.986000,0.001953,0.000521,0.000000,1.000000,0.031631,1.000000,0.600000,0.001302,0.000000,0.480000,0.214269,0.986000,0.001953,0.000521,0.000000,1.000000,0.031631,1.000000,0.600000,0.000521,0.020000,1.200000,1.000000,0.986000,0.001953,0.000521,1.000000,0.000000,0.031631,1.000000,0.600000,0.001225,0.030000,0.480000,0.822814,0.983000,0.002757,0.000490,0.000000,1.000000,0.033608,1.000000,0.600000,0.002451,0.000000,0.480000,0.453774,0.983000,0.002757,0.000490,0.000000,1.000000,0.033608,1.000000,0.600000,0.006127,0.030000,0.480000,0.719043,0.983000,0.002757,0.000490,0.000000,1.000000,0.033608,1.000000,0.600000,0.001225,0.000000,0.480000,0.214269,0.983000,0.002757,0.000490,0.000000,1.000000,0.033608,1.000000,0.600000,0.000490,0.020000,1.200000,1.000000,0.983000,0.002757,0.000490,1.000000,0.000000,0.033608
