time,task_id,reward,selected_agent,selected_vm,selected_priority_bin,done,mask_0,mask_1,mask_2,mask_3,mask_4,a0_score,a0_priority_bin,a1_score,a1_priority_bin,a2_score,a2_priority_bin,a3_score,a3_priority_bin,a4_score,a4_priority_bin,s_0_0,s_0_1,s_0_2,s_0_3,s_0_4,s_0_5,s_0_6,s_0_7,s_0_8,s_0_9,s_0_10,s_0_11,s_1_0,s_1_1,s_1_2,s_1_3,s_1_4,s_1_5,s_1_6,s_1_7,s_1_8,s_1_9,s_1_10,s_1_11,s_2_0,s_2_1,s_2_2,s_2_3,s_2_4,s_2_5,s_2_6,s_2_7,s_2_8,s_2_9,s_2_10,s_2_11,s_3_0,s_3_1,s_3_2,s_3_3,s_3_4,s_3_5,s_3_6,s_3_7,s_3_8,s_3_9,s_3_10,s_3_11,s_4_0,s_4_1,s_4_2,s_4_3,s_4_4,s_4_5,s_4_6,s_4_7,s_4_8,s_4_9,s_4_10,s_4_11,s_next_0_0,s_next_0_1,s_next_0_2,s_next_0_3,s_next_0_4,s_next_0_5,s_next_0_6,s_next_0_7,s_next_0_8,s_next_0_9,s_next_0_10,s_next_0_11,s_next_1_0,s_next_1_1,s_next_1_2,s_next_1_3,s_next_1_4,s_next_1_5,s_next_1_6,s_next_1_7,s_next_1_8,s_next_1_9,s_next_1_10,s_next_1_11,s_next_2_0,s_next_2_1,s_next_2_2,s_next_2_3,s_next_2_4,s_next_2_5,s_next_2_6,s_next_2_7,s_next_2_8,s_next_2_9,s_next_2_10,s_next_2_11,s_next_3_0,s_next_3_1,s_next_3_2,s_next_3_3,s_next_3_4,s_next_3_5,s_next_3_6,s_next_3_7,s_next_3_8,s_next_3_9,s_next_3_10,s_next_3_11,s_next_4_0,s_next_4_1,s_next_4_2,s_next_4_3,s_next_4_4,s_next_4_5,s_next_4_6,s_next_4_7,s_next_4_8,s_next_4_9,s_next_4_10,s_next_4_11
60.0000,2100,8.066328,2,48,5,0,1,1,1,1,1,3,5,5,5,8,5,3,6,7,9,1.000000,0.600000,0.000000,0.000000,0.480000,0.864124,1.000000,0.000000,0.000000,0.000000,1.000000,0.019769,1.000000,0.600000,0.000000,0.000000,0.480000,0.869253,1.000000,0.000000,0.000000,0.000000,1.000000,0.019769,1.000000,0.600000,0.000000,0.000000,0.480000,0.352830,1.000000,0.000000,0.000000,0.000000,1.000000,0.019769,1.000000,0.600000,0.000000,0.000000,0.480000,0.365209,1.000000,0.000000,0.000000,0.000000,1.000000,0.019769,1.000000,0.600000,0.000000,0.000000,1.200000,1.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.019769,1.000000,0.600000,0.000000,0.000000,0.480000,0.864124,0.000000,0.000488,0.000000,0.000000,1.000000,0.021087,1.000000,0.600000,0.000000,0.000000,0.480000,0.869253,0.000000,0.000488,0.000000,0.000000,1.000000,0.021087,1.000000,0.600000,0.001953,0.000000,0.480000,0.352830,0.000000,0.000488,0.000000,0.000000,1.000000,0.021087,1.000000,0.600000,0.000000,0.000000,0.480000,0.365209,0.000000,0.000488,0.000000,0.000000,1.000000,0.021087,1.000000,0.600000,0.000000,0.000000,1.200000,1.000000,0.000000,0.000488,0.000000,1.000000,0.000000,0.021087
66.0000,1900,8.232966,4,0,4,0,1,1,1,1,1,4,4,4,6,4,7,1,5,10,4,1.000000,0.600000,0.000000,0.000000,0.480000,0.822814,1.000000,0.000473,0.000000,0.000000,1.000000,0.021746,1.000000,0.600000,0.000000,0.000000,0.480000,0.453774,1.000000,0.000473,0.000000,0.000000,1.000000,0.021746,1.000000,0.600000,0.001894,0.000000,0.480000,0.719043,1.000000,0.000473,0.000000,0.000000,1.000000,0.021746,1.000000,0.600000,0.000000,0.010000,0.480000,0.214269,1.000000,0.000473,0.000000,0.000000,1.000000,0.021746,1.000000,0.600000,0.000000,0.000000,1.200000,1.000000,1.000000,0.000473,0.000000,1.000000,0.000000,0.021746,1.000000,0.600000,0.000000,0.000000,0.480000,0.822814,0.000000,0.000919,0.000735,0.000000,1.000000,0.022405,1.000000,0.600000,0.000000,0.000000,0.480000,0.453774,0.000000,0.000919,0.000735,0.000000,1.000000,0.022405,1.000000,0.600000,0.001838,0.000000,0.480000,0.719043,0.000000,0.000919,0.000735,0.000000,1.000000,0.022405,1.000000,0.600000,0.001838,0.010000,0.480000,0.214269,0.000000,0.000919,0.000735,0.000000,1.000000,0.022405,1.000000,0.600000,0.000735,0.000000,1.200000,1.000000,0.000000,0.000919,0.000735,1.000000,0.000000,0.022405
66.0000,1500,8.066310,3,64,7,0,1,1,1,1,1,5,2,0,7,5,1,6,7,5,3,1.000000,0.600000,0.000000,0.000000,0.480000,0.949011,1.000000,0.000473,0.000000,0.000000,1.000000,0.021746,1.000000,0.600000,0.000000,0.000000,0.480000,0.910775,1.000000,0.000473,0.000000,0.000000,1.000000,0.021746,1.000000,0.600000,0.001894,0.000000,0.480000,0.435329,1.000000,0.000473,0.000000,0.000000,1.000000,0.021746,1.000000,0.600000,0.000000,0.000000,0.480000,0.344093,1.000000,0.000473,0.000000,0.000000,1.000000,0.021746,1.000000,0.600000,0.000000,0.000000,1.200000,1.000000,1.000000,0.000473,0.000000,1.000000,0.000000,0.021746,1.000000,0.600000,0.000000,0.000000,0.480000,0.949011,0.000000,0.000893,0.000714,0.000000,1.000000,0.023064,1.000000,0.600000,0.000000,0.000000,0.480000,0.910775,0.000000,0.000893,0.000714,0.000000,1.000000,0.023064,1.000000,0.600000,0.001786,0.000000,0.480000,0.435329,0.000000,0.000893,0.000714,0.000000,1.000000,0.023064,1.000000,0.600000,0.001786,0.000000,0.480000,0.344093,0.000000,0.000893,0.000714,0.000000,1.000000,0.023064,1.000000,0.600000,0.000714,0.000000,1.200000,1.000000,0.000000,0.000893,0.000714,1.000000,0.000000,0.023064
75.0000,2101,8.065743,1,33,8,0,1,1,1,1,1,0,8,9,8,5,4,7,5,5,6,1.000000,0.600000,0.000000,0.000000,0.480000,0.864124,1.000000,0.000833,0.000667,0.000000,1.000000,0.024712,1.000000,0.600000,0.000000,0.010000,0.480000,0.869253,1.000000,0.000833,0.000667,0.000000,1.000000,0.024712,1.000000,0.600000,0.001667,0.000000,0.480000,0.352830,1.000000,0.000833,0.000667,0.000000,1.000000,0.024712,1.000000,0.600000,0.001667,0.000000,0.480000,0.365209,1.000000,0.000833,0.000667,0.000000,1.000000,0.024712,1.000000,0.600000,0.000667,0.000000,1.200000,1.000000,1.000000,0.000833,0.000667,1.000000,0.000000,0.024712,1.000000,0.600000,0.005274,0.010000,0.480000,0.864124,0.000000,0.003824,0.000633,0.000000,1.000000,0.026030,1.000000,0.600000,0.006857,0.010000,0.480000,0.869253,0.000000,0.003824,0.000633,0.000000,1.000000,0.026030,1.000000,0.600000,0.001582,0.000000,0.480000,0.352830,0.000000,0.003824,0.000633,0.000000,1.000000,0.026030,1.000000,0.600000,0.001582,0.000000,0.480000,0.365209,0.000000,0.003824,0.000633,0.000000,1.000000,0.026030,1.000000,0.600000,0.000633,0.000000,1.200000,1.000000,0.000000,0.003824,0.000633,1.000000,0.000000,0.026030
81.0000,1501,8.232193,4,0,6,0,1,1,1,1,1,3,8,6,10,6,7,4,10,10,6,1.000000,0.600000,0.005144,0.010000,0.480000,0.949011,1.000000,0.003729,0.000617,0.000000,1.000000,0.026689,1.000000,0.600000,0.006687,0.010000,0.480000,0.910775,1.000000,0.003729,0.000617,0.000000,1.000000,0.026689,1.000000,0.600000,0.001543,0.000000,0.480000,0.435329,1.000000,0.003729,0.000617,0.000000,1.000000,0.026689,1.000000,0.600000,0.001543,0.000000,0.480000,0.344093,1.000000,0.003729,0.000617,0.000000,1.000000,0.026689,1.000000,0.600000,0.000617,0.000000,1.200000,1.000000,1.000000,0.003729,0.000617,1.000000,0.000000,0.026689,1.000000,0.600000,0.006024,0.020000,0.480000,0.949011,0.000000,0.004267,0.001205,0.000000,1.000000,0.027348,1.000000,0.600000,0.008032,0.020000,0.480000,0.910775,0.000000,0.004267,0.001205,0.000000,1.000000,0.027348,1.000000,0.600000,0.001506,0.000000,0.480000,0.435329,0.000000,0.004267,0.001205,0.000000,1.000000,0.027348,1.000000,0.600000,0.001506,0.000000,0.480000,0.344093,0.000000,0.004267,0.001205,0.000000,1.000000,0.027348,1.000000,0.600000,0.001205,0.000000,1.200000,1.000000,0.000000,0.004267,0.001205,1.000000,0.000000,0.027348
75.0000,900,8.038873,1,32,5,0,1,1,1,1,1,2,1,10,5,2,9,4,1,7,0,2.000000,1.250000,0.000000,0.000000,0.480000,0.817305,1.000000,0.000833,0.000667,0.000000,1.000000,0.024712,2.000000,1.250000,0.000000,0.000000,0.480000,0.945939,1.000000,0.000833,0.000667,0.000000,1.000000,0.024712,2.000000,1.250000,0.001667,0.000000,0.480000,0.211293,1.000000,0.000833,0.000667,0.000000,1.000000,0.024712,2.000000,1.250000,0.001667,0.000000,0.480000,0.521016,1.000000,0.000833,0.000667,0.000000,1.000000,0.024712,2.000000,1.250000,0.000667,0.000000,1.200000,1.000000,1.000000,0.000833,0.000667,1.000000,0.000000,0.024712,2.000000,1.250000,0.005952,0.020000,0.480000,0.817305,0.000000,0.004216,0.001190,0.000000,1.000000,0.027677,2.000000,1.250000,0.007937,0.010000,0.480000,0.945939,0.000000,0.004216,0.001190,0.000000,1.000000,0.027677,2.000000,1.250000,0.001488,0.000000,0.480000,0.211293,0.000000,0.004216,0.001190,0.000000,1.000000,0.027677,2.000000,1.250000,0.001488,0.000000,0.480000,0.521016,0.000000,0.004216,0.001190,0.000000,1.000000,0.027677,2.000000,1.250000,0.001190,0.000000,1.200000,1.000000,0.000000,0.004216,0.001190,1.000000,0.000000,0.027677
81.0000,1901,8.065553,1,33,2,0,1,1,1,1,1,7,7,10,2,9,1,7,1,3,7,1.000000,0.600000,0.005144,0.010000,0.480000,0.822814,1.000000,0.003729,0.000617,0.000000,1.000000,0.026689,1.000000,0.600000,0.006687,0.010000,0.480000,0.453774,1.000000,0.003729,0.000617,0.000000,1.000000,0.026689,1.000000,0.600000,0.001543,0.000000,0.480000,0.719043,1.000000,0.003729,0.000617,0.000000,1.000000,0.026689,1.000000,0.600000,0.001543,0.000000,0.480000,0.214269,1.000000,0.003729,0.000617,0.000000,1.000000,0.026689,1.000000,0.600000,0.000617,0.010000,1.200000,1.000000,1.000000,0.003729,0.000617,1.000000,0.000000,0.026689,1.000000,0.600000,0.005882,0.000000,0.480000,0.822814,0.000000,0.004167,0.001176,0.000000,1.000000,0.028007,1.000000,0.600000,0.007843,0.000000,0.480000,0.453774,0.000000,0.004167,0.001176,0.000000,1.000000,0.028007,1.000000,0.600000,0.001471,0.000000,0.480000,0.719043,0.000000,0.004167,0.001176,0.000000,1.000000,0.028007,1.000000,0.600000,0.001471,0.000000,0.480000,0.214269,0.000000,0.004167,0.001176,0.000000,1.000000,0.028007,1.000000,0.600000,0.001176,0.000000,1.200000,1.000000,0.000000,0.004167,0.001176,1.000000,0.000000,0.028007
82.0000,250,8.023886,0,17,2,0,1,1,1,0,1,9,2,0,6,8,3,9,1,0,9,0.666667,0.400000,0.005081,0.010000,0.480000,0.214175,0.000000,0.004065,0.001220,0.000000,1.000000,0.027018,0.666667,0.400000,0.008130,0.020000,0.480000,0.767969,0.000000,0.004065,0.001220,0.000000,1.000000,0.027018,0.666667,0.400000,0.001524,0.000000,0.480000,0.870633,0.000000,0.004065,0.001220,0.000000,1.000000,0.027018,0.666667,0.400000,0.001524,0.000000,0.480000,1.141011,0.000000,0.004065,0.001220,0.000000,1.000000,0.027018,0.666667,0.400000,0.001220,0.010000,1.200000,1.000000,0.000000,0.004065,0.001220,1.000000,0.000000,0.027018,0.666667,0.400000,0.005882,0.000000,0.480000,0.214175,0.000000,0.004167,0.001176,0.000000,1.000000,0.028007,0.666667,0.400000,0.007843,0.000000,0.480000,0.767969,0.000000,0.004167,0.001176,0.000000,1.000000,0.028007,0.666667,0.400000,0.001471,0.000000,0.480000,0.870633,0.000000,0.004167,0.001176,0.000000,1.000000,0.028007,0.666667,0.400000,0.001471,0.000000,0.480000,1.141011,0.000000,0.004167,0.001176,0.000000,1.000000,0.028007,0.666667,0.400000,0.001176,0.000000,1.200000,1.000000,0.000000,0.004167,0.001176,1.000000,0.000000,0.028007
77.0000,500,8.078886,0,16,6,0,1,1,1,1,1,10,6,2,1,10,1,10,2,6,6,2.000000,1.250000,0.000000,0.000000,0.480000,0.720771,0.000000,0.002570,0.000649,0.000000,1.000000,0.025371,2.000000,1.250000,0.007035,0.020000,0.480000,0.062893,0.000000,0.002570,0.000649,0.000000,1.000000,0.025371,2.000000,1.250000,0.001623,0.000000,0.480000,0.958911,0.000000,0.002570,0.000649,0.000000,1.000000,0.025371,2.000000,1.250000,0.001623,0.000000,0.480000,0.635575,0.000000,0.002570,0.000649,0.000000,1.000000,0.025371,2.000000,1.250000,0.000649,0.000000,1.200000,1.000000,0.000000,0.002570,0.000649,1.000000,0.000000,0.025371,2.000000,1.250000,0.005882,0.000000,0.480000,0.720771,0.000000,0.004167,0.001176,0.000000,1.000000,0.028007,2.000000,1.250000,0.007843,0.000000,0.480000,0.062893,0.000000,0.004167,0.001176,0.000000,1.000000,0.028007,2.000000,1.250000,0.001471,0.000000,0.480000,0.958911,0.000000,0.004167,0.001176,0.000000,1.000000,0.028007,2.000000,1.250000,0.001471,0.000000,0.480000,0.635575,0.000000,0.004167,0.001176,0.000000,1.000000,0.028007,2.000000,1.250000,0.001176,0.000000,1.200000,1.000000,0.000000,0.004167,0.001176,1.000000,0.000000,0.028007
85.0000,1100,8.065718,3,64,8,0,1,1,1,1,1,2,8,0,1,7,1,10,8,7,0,1.000000,0.600000,0.005882,0.000000,0.480000,0.554578,0.000000,0.004167,0.001176,0.000000,1.000000,0.028007,1.000000,0.600000,0.007843,0.000000,0.480000,0.323879,0.000000,0.004167,0.001176,0.000000,1.000000,0.028007,1.000000,0.600000,0.001471,0.000000,0.480000,0.627850,0.000000,0.004167,0.001176,0.000000,1.000000,0.028007,1.000000,0.600000,0.001471,0.000000,0.480000,0.437649,0.000000,0.004167,0.001176,0.000000,1.000000,0.028007,1.000000,0.600000,0.001176,0.000000,1.200000,1.000000,0.000000,0.004167,0.001176,1.000000,0.000000,0.028007,1.000000,0.600000,0.005618,0.000000,0.480000,0.552897,0.000000,0.004331,0.001124,0.000000,1.000000,0.029325,1.000000,0.600000,0.007491,0.000000,0.480000,0.330630,0.000000,0.004331,0.001124,0.000000,1.000000,0.029325,1.000000,0.600000,0.001404,0.000000,0.480000,0.621062,0.000000,0.004331,0.001124,0.000000,1.000000,0.029325,1.000000,0.600000,0.002809,0.000000,0.480000,0.435130,0.000000,0.004331,0.001124,0.000000,1.000000,0.029325,1.000000,0.600000,0.001124,0.000000,1.200000,1.000000,0.000000,0.004331,0.001124,1.000000,0.000000,0.029325
