time,task_id,s0,s1,s2,s3,s4,s5,s6,s7,action,action_prob,reward,s_next0,s_next1,s_next2,s_next3,s_next4,s_next5,s_next6,s_next7,done
36.0,7750,0.0,0.0,0.0,10.0,18000.0,25000.0,1.0,2.0,1,0.25,0.0,0.0,0.19736842105263158,0.0,10.0,18000.0,25000.0,1.0,2.0,0
39.0,5950,0.0,0.19230769230769232,0.0,10.0,18000.0,25000.0,1.0,4.0,1,0.25,0.0,0.022652901421368884,0.18877417851140738,0.0,10.0,18000.0,25000.0,1.0,4.0,0
39.0,6850,0.0,0.19230769230769232,0.0,10.0,18000.0,25000.0,1.0,3.0,0,0.25,0.0,0.022652901421368884,0.18877417851140738,0.0,10.0,18000.0,25000.0,1.0,3.0,0
39.0,7753,0.0,0.19230769230769232,0.0,10.0,18000.0,25000.0,1.0,2.0,0,0.25,0.0,0.022652901421368884,0.18877417851140738,0.0,10.0,18000.0,25000.0,1.0,2.0,0
39.0,8650,0.0,0.19230769230769232,0.0,10.0,18000.0,25000.0,1.0,5.0,0,0.25,0.0,0.022652901421368884,0.18877417851140738,0.0,10.0,18000.0,25000.0,1.0,5.0,0
37.0,7751,0.0,0.0,0.0,10.0,18000.0,25000.0,1.0,2.0,3,0.25,0.0,0.0225,0.1875,0.0,10.0,18000.0,25000.0,1.0,2.0,0
40.0,9100,0.0225,0.1875,0.0,10.0,18000.0,25000.0,1.0,5.0,0,0.25,0.0,0.022096729168492715,0.1841394097374393,0.0,10.0,18000.0,25000.0,1.0,5.0,0
38.0,7752,0.0,0.19736842105263158,0.0,10.0,18000.0,25000.0,1.0,2.0,3,0.25,0.0,0.021951219512195124,0.1829268292682927,0.0,10.0,18000.0,25000.0,1.0,1.0,0
41.0,7755,0.021951219512195124,0.1829268292682927,0.0,10.0,18000.0,25000.0,1.0,1.0,0,0.25,0.0,0.053918031651562025,0.1797267721718734,0.0,10.0,18000.0,25000.0,1.0,1.0,0
41.0,8652,0.021951219512195124,0.1829268292682927,0.0,10.0,18000.0,25000.0,1.0,5.0,0,0.25,0.0,0.053918031651562025,0.1797267721718734,0.0,10.0,18000.0,25000.0,1.0,5.0,0
41.0,5952,0.021951219512195124,0.1829268292682927,0.0,10.0,18000.0,25000.0,2.0,4.0,1,0.25,9900.0,0.053571428571428575,0.18392857142857144,0.0,10.0,18000.0,25000.0,2.0,3.0,1
40.0,7754,0.0225,0.1875,0.0,10.0,18000.0,25000.0,1.0,2.0,3,0.25,0.0,0.053571428571428575,0.1892857142857143,0.0,10.0,18000.0,25000.0,1.0,1.0,0
40.0,5951,0.0225,0.1875,0.0,10.0,18000.0,25000.0,2.0,4.0,3,0.25,0.0,0.05232558139534884,0.20581395348837211,0.0,10.0,18000.0,25000.0,2.0,3.0,0
40.0,14500,0.0225,0.1875,0.0,10.0,18000.0,0.0,0.0,4.0,2,0.3333333333333333,0.0,0.05232558139534884,0.20581395348837211,0.0,10.0,18000.0,0.0,0.0,4.0,0
40.0,6851,0.0225,0.1875,0.0,10.0,18000.0,25000.0,1.0,3.0,1,0.25,0.0,0.05232558139534884,0.20581395348837211,0.0,10.0,18000.0,25000.0,1.0,4.0,0
43.0,8654,0.05232558139534884,0.20581395348837211,0.0,10.0,18000.0,25000.0,1.0,5.0,0,0.25,0.0,0.06174249674308329,0.20237818376899527,0.0,10.0,18000.0,25000.0,1.0,5.0,0
41.0,9101,0.021951219512195124,0.1829268292682927,0.0,10.0,18000.0,25000.0,1.0,5.0,2,0.25,0.0,0.06136363636363636,0.2011363636363636,0.0,10.0,18000.0,25000.0,1.0,4.0,0
40.0,8651,0.0225,0.1875,0.0,10.0,18000.0,25000.0,1.0,5.0,2,0.25,0.0,0.06136363636363636,0.2011363636363636,0.0,10.0,18000.0,25000.0,1.0,5.0,0
42.0,9102,0.053571428571428575,0.1892857142857143,0.0,10.0,18000.0,25000.0,1.0,5.0,2,0.25,0.0,0.06136363636363636,0.2011363636363636,0.0,10.0,18000.0,25000.0,1.0,4.0,0
42.0,7756,0.053571428571428575,0.1892857142857143,0.0,10.0,18000.0,25000.0,1.0,1.0,1,0.25,0.0,0.06136363636363636,0.2011363636363636,0.0,10.0,18000.0,25000.0,2.0,1.0,0
44.0,7758,0.06136363636363636,0.2011363636363636,0.0,10.0,18000.0,25000.0,2.0,1.0,0,0.25,0.0,0.09054323931517118,0.1978537451701889,0.0,10.0,18000.0,25000.0,1.0,1.0,0
44.0,8655,0.06136363636363636,0.2011363636363636,0.0,10.0,18000.0,25000.0,1.0,5.0,0,0.25,0.0,0.09054323931517118,0.1978537451701889,0.0,10.0,18000.0,25000.0,1.0,5.0,0
44.0,9104,0.06136363636363636,0.2011363636363636,0.0,10.0,18000.0,25000.0,1.0,4.0,0,0.25,0.0,0.09054323931517118,0.1978537451701889,0.0,10.0,18000.0,25000.0,1.0,4.0,0
40.0,10450,0.0225,0.1875,0.0,10.0,18000.0,0.0,0.0,2.0,3,0.3333333333333333,0.0,0.09,0.21666666666666665,0.0,10.0,18000.0,0.0,0.0,2.0,0
41.0,14501,0.021951219512195124,0.1829268292682927,0.0,10.0,18000.0,0.0,0.0,4.0,1,0.3333333333333333,0.0,0.09,0.21666666666666665,0.0,10.0,18000.0,0.0,0.0,4.0,0
42.0,5953,0.053571428571428575,0.1892857142857143,0.0,10.0,18000.0,25000.0,2.0,3.0,2,0.25,0.0,0.09,0.21666666666666665,0.0,10.0,18000.0,25000.0,2.0,3.0,0
41.0,6852,0.021951219512195124,0.1829268292682927,0.0,10.0,18000.0,25000.0,1.0,3.0,3,0.25,0.0,0.09,0.21666666666666665,0.0,10.0,18000.0,25000.0,1.0,3.0,0
43.0,7757,0.05232558139534884,0.20581395348837211,0.0,10.0,18000.0,25000.0,1.0,1.0,1,0.25,0.0,0.09,0.21666666666666665,0.0,10.0,18000.0,25000.0,1.0,1.0,0
43.0,5954,0.05232558139534884,0.20581395348837211,0.0,10.0,18000.0,25000.0,2.0,3.0,3,0.25,0.0,0.09,0.21666666666666665,0.0,10.0,18000.0,25000.0,2.0,3.0,0
43.0,13600,0.05232558139534884,0.20581395348837211,0.0,10.0,18000.0,0.0,0.0,1.0,3,0.3333333333333333,0.0,0.09,0.21666666666666665,0.0,10.0,18000.0,0.0,0.0,1.0,0
43.0,10453,0.05232558139534884,0.20581395348837211,0.0,10.0,18000.0,0.0,0.0,2.0,1,0.3333333333333333,0.0,0.09,0.21666666666666665,0.0,10.0,18000.0,0.0,0.0,2.0,0
45.0,5956,0.09,0.21666666666666665,0.0,10.0,18000.0,25000.0,2.0,3.0,0,0.25,0.0,0.09840365221875087,0.2132079131406269,0.0,10.0,18000.0,25000.0,2.0,3.0,0
45.0,6856,0.09,0.21666666666666665,0.0,10.0,18000.0,25000.0,1.0,3.0,0,0.25,0.0,0.09840365221875087,0.2132079131406269,0.0,10.0,18000.0,25000.0,1.0,3.0,0
45.0,8656,0.09,0.21666666666666665,0.0,10.0,18000.0,25000.0,1.0,5.0,0,0.25,0.0,0.09840365221875087,0.2132079131406269,0.0,10.0,18000.0,25000.0,1.0,5.0,0
42.0,12250,0.053571428571428575,0.1892857142857143,0.0,10.0,18000.0,0.0,0.0,7.0,2,0.3333333333333333,0.0,0.09782608695652174,0.23152173913043478,0.0,10.0,18000.0,0.0,0.0,7.0,0
41.0,10451,0.021951219512195124,0.1829268292682927,0.0,10.0,18000.0,0.0,0.0,2.0,3,0.3333333333333333,0.0,0.09782608695652174,0.23152173913043478,0.0,10.0,18000.0,0.0,0.0,2.0,0
44.0,5955,0.06136363636363636,0.2011363636363636,0.0,10.0,18000.0,25000.0,2.0,3.0,2,0.25,0.0,0.09782608695652174,0.23152173913043478,0.0,10.0,18000.0,25000.0,2.0,3.0,0
42.0,8653,0.053571428571428575,0.1892857142857143,0.0,10.0,18000.0,25000.0,1.0,5.0,2,0.25,0.0,0.09782608695652174,0.23152173913043478,0.0,10.0,18000.0,25000.0,1.0,5.0,0
44.0,13601,0.06136363636363636,0.2011363636363636,0.0,10.0,18000.0,0.0,0.0,1.0,1,0.3333333333333333,0.0,0.09782608695652174,0.23152173913043478,0.0,10.0,18000.0,0.0,0.0,1.0,0
46.0,6857,0.09782608695652174,0.23152173913043478,0.0,10.0,18000.0,25000.0,1.0,3.0,0,0.25,0.0,0.1251872190911151,0.2279049373197224,0.0,10.0,18000.0,25000.0,1.0,3.0,0
46.0,10456,0.09782608695652174,0.23152173913043478,0.0,10.0,18000.0,0.0,0.0,2.0,1,0.3333333333333333,9900.0,0.12446808510638298,0.23138297872340427,0.0,10.0,18000.0,0.0,0.0,1.0,1
42.0,10452,0.053571428571428575,0.1892857142857143,0.0,10.0,18000.0,0.0,0.0,2.0,1,0.3333333333333333,0.0,0.12446808510638298,0.23617021276595745,0.0,10.0,18000.0,0.0,0.0,1.0,0
43.0,6854,0.05232558139534884,0.20581395348837211,0.0,10.0,18000.0,25000.0,1.0,4.0,2,0.25,0.0,0.12446808510638298,0.23617021276595745,0.0,10.0,18000.0,25000.0,1.0,3.0,0
43.0,12251,0.05232558139534884,0.20581395348837211,0.0,10.0,18000.0,0.0,0.0,7.0,3,0.3333333333333333,0.0,0.12446808510638298,0.23617021276595745,0.0,10.0,18000.0,0.0,0.0,7.0,0
44.0,6855,0.06136363636363636,0.2011363636363636,0.0,10.0,18000.0,25000.0,1.0,3.0,2,0.25,0.0,0.12446808510638298,0.23617021276595745,0.0,10.0,18000.0,25000.0,1.0,3.0,0
45.0,12253,0.09,0.21666666666666665,0.0,10.0,18000.0,0.0,0.0,7.0,2,0.3333333333333333,0.0,0.12446808510638298,0.23617021276595745,0.0,10.0,18000.0,0.0,0.0,7.0,0
42.0,14502,0.053571428571428575,0.1892857142857143,0.0,10.0,18000.0,0.0,0.0,4.0,3,0.3333333333333333,0.0,0.12446808510638298,0.23617021276595745,0.0,10.0,18000.0,0.0,0.0,4.0,0
44.0,14504,0.06136363636363636,0.2011363636363636,0.0,10.0,18000.0,0.0,0.0,4.0,3,0.3333333333333333,0.0,0.12446808510638298,0.23617021276595745,0.0,10.0,18000.0,0.0,0.0,4.0,0
42.0,6853,0.053571428571428575,0.1892857142857143,0.0,10.0,18000.0,25000.0,1.0,4.0,1,0.25,0.0,0.15,0.240625,0.0,10.0,18000.0,25000.0,1.0,4.0,0
45.0,14505,0.09,0.21666666666666665,0.0,10.0,18000.0,0.0,0.0,4.0,2,0.3333333333333333,0.0,0.15,0.240625,0.0,10.0,18000.0,0.0,0.0,4.0,0
