time,task_id,s0,s1,s2,s3,s4,s5,s6,s7,action,action_prob,reward,s_next0,s_next1,s_next2,s_next3,s_next4,s_next5,s_next6,s_next7,done
39.0,1700,0.0,0.0,0.0,10.0,18000.0,0.0,0.0,1.0,2,0.3333333333333333,0.0,0.0,0.010714285714285714,0.0,10.0,18000.0,0.0,0.0,1.0,0
40.0,1701,0.0,0.005625,0.0,10.0,18000.0,0.0,0.0,1.0,2,0.3333333333333333,0.0,0.0,0.010714285714285714,0.0,10.0,18000.0,0.0,0.0,1.0,0
42.0,1703,0.0,0.010714285714285714,0.0,10.0,18000.0,0.0,0.0,1.0,2,0.3333333333333333,0.0,0.01,0.025,0.0,10.0,18000.0,0.0,0.0,1.0,0
41.0,1702,0.0,0.010975609756097562,0.0,10.0,18000.0,0.0,0.0,1.0,2,0.3333333333333333,0.0,0.01956521739130435,0.029347826086956522,0.0,10.0,18000.0,0.0,0.0,1.0,0
43.0,2150,0.0,0.015697674418604653,0.0,10.0,18000.0,0.0,0.0,0.0,3,0.5,0.0,0.01956521739130435,0.029347826086956522,0.0,10.0,18000.0,0.0,0.0,0.0,0
44.0,1705,0.0,0.020454545454545454,0.0,10.0,18000.0,0.0,0.0,1.0,3,0.3333333333333333,0.0,0.01956521739130435,0.029347826086956522,0.0,10.0,18000.0,0.0,0.0,1.0,0
43.0,1704,0.0,0.015697674418604653,0.0,10.0,18000.0,0.0,0.0,1.0,2,0.3333333333333333,0.0,0.019148936170212766,0.03351063829787234,0.0,10.0,18000.0,0.0,0.0,1.0,0
45.0,2152,0.01,0.025,0.0,10.0,18000.0,0.0,0.0,0.0,2,0.5,0.0,0.019148936170212766,0.03351063829787234,0.0,10.0,18000.0,0.0,0.0,0.0,0
46.0,2153,0.01956521739130435,0.029347826086956522,0.0,10.0,18000.0,0.0,0.0,0.0,2,0.5,0.0,0.028124999999999997,0.0375,0.0,10.0,18000.0,0.0,0.0,0.0,0
45.0,1706,0.01,0.025,0.0,10.0,18000.0,0.0,0.0,1.0,1,0.3333333333333333,0.0,0.027551020408163263,0.055102040816326525,0.0,10.0,18000.0,0.0,0.0,1.0,0
46.0,2600,0.01956521739130435,0.029347826086956522,0.0,10.0,18000.0,0.0,0.0,1.0,1,0.3333333333333333,0.0,0.027,0.0675,0.0,10.0,18000.0,0.0,0.0,1.0,0
46.0,1707,0.01956521739130435,0.029347826086956522,0.0,10.0,18000.0,0.0,0.0,1.0,2,0.3333333333333333,0.0,0.027,0.0675,0.0,10.0,18000.0,0.0,0.0,1.0,0
47.0,2601,0.019148936170212766,0.03351063829787234,0.0,10.0,18000.0,0.0,0.0,1.0,2,0.3333333333333333,0.0,0.027,0.0675,0.0,10.0,18000.0,0.0,0.0,1.0,0
44.0,2151,0.0,0.020454545454545454,0.0,10.0,18000.0,0.0,0.0,0.0,3,0.5,0.0,0.026470588235294114,0.075,0.0,10.0,18000.0,0.0,0.0,0.0,0
48.0,1709,0.028124999999999997,0.0375,0.0,10.0,18000.0,0.0,0.0,1.0,2,0.3333333333333333,0.0,0.026470588235294114,0.075,0.0,10.0,18000.0,0.0,0.0,1.0,0
48.0,2155,0.028124999999999997,0.0375,0.0,10.0,18000.0,0.0,0.0,0.0,2,0.5,0.0,0.026470588235294114,0.075,0.0,10.0,18000.0,0.0,0.0,0.0,0
47.0,2154,0.019148936170212766,0.03351063829787234,0.0,10.0,18000.0,0.0,0.0,0.0,2,0.5,0.0,0.03461538461538461,0.08221153846153846,0.0,10.0,18000.0,0.0,0.0,0.0,0
48.0,2602,0.028124999999999997,0.0375,0.0,10.0,18000.0,0.0,0.0,1.0,2,0.3333333333333333,0.0,0.03461538461538461,0.08221153846153846,0.0,10.0,18000.0,0.0,0.0,1.0,0
47.0,1708,0.019148936170212766,0.03351063829787234,0.0,10.0,18000.0,0.0,0.0,1.0,2,0.3333333333333333,0.0,0.03461538461538461,0.08221153846153846,0.0,10.0,18000.0,0.0,0.0,1.0,0
49.0,1710,0.027551020408163263,0.055102040816326525,0.0,10.0,18000.0,0.0,0.0,1.0,2,0.3333333333333333,0.0,0.03461538461538461,0.08221153846153846,0.0,10.0,18000.0,0.0,0.0,1.0,0
49.0,2156,0.027551020408163263,0.055102040816326525,0.0,10.0,18000.0,0.0,0.0,0.0,2,0.5,0.0,0.033962264150943396,0.08915094339622642,0.0,10.0,18000.0,0.0,0.0,0.0,0
50.0,2604,0.027,0.0675,0.0,10.0,18000.0,0.0,0.0,1.0,2,0.3333333333333333,0.0,0.033962264150943396,0.08915094339622642,0.0,10.0,18000.0,0.0,0.0,1.0,0
51.0,2605,0.026470588235294114,0.075,0.0,10.0,18000.0,0.0,0.0,1.0,2,0.3333333333333333,0.0,0.033962264150943396,0.08915094339622642,0.0,10.0,18000.0,0.0,0.0,1.0,0
50.0,1711,0.027,0.0675,0.0,10.0,18000.0,0.0,0.0,1.0,3,0.3333333333333333,0.0,0.03333333333333333,0.08750000000000001,0.0,10.0,18000.0,0.0,0.0,1.0,0
51.0,1712,0.026470588235294114,0.075,0.0,10.0,18000.0,0.0,0.0,1.0,2,0.3333333333333333,0.0,0.03333333333333333,0.08750000000000001,0.0,10.0,18000.0,0.0,0.0,1.0,0
52.0,1713,0.03461538461538461,0.08221153846153846,0.0,10.0,18000.0,0.0,0.0,1.0,2,0.3333333333333333,0.0,0.03333333333333333,0.08750000000000001,0.0,10.0,18000.0,0.0,0.0,1.0,0
52.0,2606,0.03461538461538461,0.08221153846153846,0.0,10.0,18000.0,0.0,0.0,1.0,1,0.3333333333333333,0.0,0.03333333333333333,0.08750000000000001,0.0,10.0,18000.0,0.0,0.0,1.0,0
49.0,2603,0.027551020408163263,0.055102040816326525,0.0,10.0,18000.0,0.0,0.0,1.0,2,0.3333333333333333,0.0,0.04909090909090909,0.09,0.0,10.0,18000.0,0.0,0.0,1.0,0
50.0,2157,0.027,0.0675,0.0,10.0,18000.0,0.0,0.0,0.0,3,0.5,0.0,0.04909090909090909,0.09,0.0,10.0,18000.0,0.0,0.0,0.0,0
53.0,2160,0.033962264150943396,0.08915094339622642,0.0,10.0,18000.0,0.0,0.0,0.0,3,0.5,0.0,0.06428571428571428,0.09241071428571429,0.0,10.0,18000.0,0.0,0.0,0.0,0
54.0,2161,0.03333333333333333,0.08750000000000001,0.0,10.0,18000.0,0.0,0.0,0.0,2,0.5,0.0,0.06428571428571428,0.09241071428571429,0.0,10.0,18000.0,0.0,0.0,0.0,0
53.0,1714,0.033962264150943396,0.08915094339622642,0.0,10.0,18000.0,0.0,0.0,1.0,3,0.3333333333333333,0.0,0.06428571428571428,0.09241071428571429,0.0,10.0,18000.0,0.0,0.0,1.0,0
51.0,2158,0.026470588235294114,0.075,0.0,10.0,18000.0,0.0,0.0,0.0,3,0.5,0.0,0.07894736842105263,0.09078947368421053,0.0,10.0,18000.0,0.0,0.0,0.0,0
55.0,2162,0.04909090909090909,0.09,0.0,10.0,18000.0,0.0,0.0,0.0,2,0.5,0.0,0.07894736842105263,0.09078947368421053,0.0,10.0,18000.0,0.0,0.0,0.0,0
54.0,1715,0.03333333333333333,0.08750000000000001,0.0,10.0,18000.0,0.0,0.0,1.0,3,0.3333333333333333,0.0,0.07894736842105263,0.09078947368421053,0.0,10.0,18000.0,0.0,0.0,1.0,0
52.0,2159,0.03461538461538461,0.08221153846153846,0.0,10.0,18000.0,0.0,0.0,0.0,3,0.5,0.0,0.09310344827586207,0.09310344827586207,0.0,10.0,18000.0,0.0,0.0,0.0,0
53.0,2607,0.033962264150943396,0.08915094339622642,0.0,10.0,18000.0,0.0,0.0,1.0,1,0.3333333333333333,0.0,0.09310344827586207,0.09310344827586207,0.0,10.0,18000.0,0.0,0.0,1.0,0
56.0,2163,0.06428571428571428,0.09241071428571429,0.0,10.0,18000.0,0.0,0.0,0.0,3,0.5,0.0,0.09310344827586207,0.09310344827586207,0.0,10.0,18000.0,0.0,0.0,0.0,0
55.0,1716,0.04909090909090909,0.09,0.0,10.0,18000.0,0.0,0.0,1.0,3,0.3333333333333333,0.0,0.10677966101694915,0.10296610169491524,0.0,10.0,18000.0,0.0,0.0,1.0,0
54.0,2608,0.03333333333333333,0.08750000000000001,0.0,10.0,18000.0,0.0,0.0,1.0,2,0.3333333333333333,0.0,0.10677966101694915,0.10296610169491524,0.0,10.0,18000.0,0.0,0.0,1.0,0
56.0,1717,0.06428571428571428,0.09241071428571429,0.0,10.0,18000.0,0.0,0.0,1.0,3,0.3333333333333333,0.0,0.10677966101694915,0.10296610169491524,0.0,10.0,18000.0,0.0,0.0,1.0,0
57.0,2164,0.07894736842105263,0.09078947368421053,0.0,10.0,18000.0,0.0,0.0,0.0,3,0.5,0.0,0.105,0.11249999999999999,0.0,10.0,18000.0,0.0,0.0,0.0,0
57.0,1718,0.07894736842105263,0.09078947368421053,0.0,10.0,18000.0,0.0,0.0,1.0,2,0.3333333333333333,0.0,0.105,0.11249999999999999,0.0,10.0,18000.0,0.0,0.0,1.0,0
58.0,2165,0.09310344827586207,0.09310344827586207,0.0,10.0,18000.0,0.0,0.0,0.0,2,0.5,0.0,0.105,0.11249999999999999,0.0,10.0,18000.0,0.0,0.0,0.0,0
