time,task_id,s0,s1,s2,s3,s4,s5,s6,s7,s8,action_offload,action_prb,action_prob,reward,s_next0,s_next1,s_next2,s_next3,s_next4,s_next5,s_next6,s_next7,s_next8,done
46.0,810,0.0,0.0,0.0,12.0,120000.0,20000.0,1.0,0.0,0.999,0,0,0.0024752475247524753,9.799299999999999,0.0,0.0,25.0,12.0,120000.0,20000.0,3.0,0.0,0.996,0
48.0,811,0.0,0.0,12.5,12.0,120000.0,20000.0,2.0,0.0,0.998,0,0,0.0024752475247524753,9.798982916666667,0.0,0.0,12.5,12.0,120000.0,20000.0,2.0,0.0,0.993,0
50.0,812,0.0,0.0,25.0,12.0,120000.0,20000.0,3.0,0.0,0.997,0,0,0.0024752475247524753,9.798932916666667,0.0,0.0,12.5,12.0,120000.0,20000.0,2.0,0.0,0.992,0
56.0,815,0.0,0.0,12.5,12.0,120000.0,20000.0,2.0,0.0,0.992,0,0,0.0024752475247524753,9.798682916666667,0.0,0.0,12.5,12.0,120000.0,20000.0,2.0,0.0,0.987,0
52.0,813,0.0,0.0,25.0,12.0,120000.0,20000.0,3.0,0.0,0.996,2,100,0.0024752475247524753,-3.592616666666667,0.0,0.09191176470588235,25.0,12.0,120000.0,20000.0,3.0,0.0,0.981,1
62.0,818,0.0,0.0,12.5,12.0,120000.0,20000.0,2.0,0.0,0.987,0,0,0.0024752475247524753,9.798282916666667,0.0,0.09189823674485566,12.5,12.0,120000.0,20000.0,2.0,0.0,0.979,0
45.0,2160,0.0,0.0,0.0,12.0,120000.0,0.0,0.0,0.0,1.0,2,100,0.0024752475247524753,-3.9312,0.0,0.09056657142927527,0.0,12.0,120000.0,0.0,0.0,0.0,0.976,1
47.0,2161,0.0,0.0,0.0,12.0,120000.0,0.0,0.0,0.0,0.999,2,100,0.0024752475247524753,-3.93145,0.0,0.26041666666666663,0.0,12.0,120000.0,0.0,0.0,0.0,0.971,1
66.0,820,0.0,0.04734848484848485,12.5,12.0,120000.0,20000.0,2.0,0.0,0.983,0,0,0.0024752475247524753,9.797982916666665,0.0,0.26038046654902564,0.0,12.0,120000.0,20000.0,1.0,0.0,0.968,0
69.0,1710,0.0,0.09057971014492754,0.0,12.0,120000.0,0.0,0.0,1.0,0.979,1,100,0.0024752475247524753,9.901533333333335,0.0,0.2568493150684931,0.0,12.0,120000.0,0.0,0.0,1.0,0.969,0
58.0,816,0.0,0.0,12.5,12.0,120000.0,20000.0,2.0,0.0,0.991,2,100,0.0024752475247524753,-3.5571170833333334,0.0,0.25681409987479803,0.0,12.0,120000.0,20000.0,1.0,0.0,0.966,1
68.0,1260,0.0,0.09191176470588235,0.0,12.0,120000.0,20000.0,1.0,0.0,0.981,2,100,0.0024752475247524753,9.818299999999999,0.0,0.2533783783783784,12.5,12.0,120000.0,20000.0,2.0,0.0,0.966,0
70.0,1261,0.0,0.13392857142857142,0.0,12.0,120000.0,20000.0,1.0,0.0,0.976,2,100,0.0024752475247524753,9.859816666666665,0.0,0.25,12.5,12.0,120000.0,20000.0,2.0,0.0,0.963,0
71.0,1711,0.0,0.22007042253521128,0.0,12.0,120000.0,0.0,0.0,1.0,0.974,1,100,0.0024752475247524753,9.8179,0.0,0.2840909090909091,0.0,12.0,120000.0,0.0,0.0,1.0,0.958,0
72.0,1262,0.0,0.26041666666666663,0.0,12.0,120000.0,20000.0,1.0,0.0,0.971,0,0,0.0024752475247524753,9.79775,0.0,0.3205128205128205,0.0,12.0,120000.0,20000.0,1.0,0.0,0.955,0
65.0,0,0.0,0.0,0.0,8.0,80000.0,0.0,0.0,1.0,0.985,1,100,0.0024752475247524753,-3.7663589583333326,0.0,0.3191081582213133,0.0,8.0,80000.0,0.0,0.0,1.0,0.952,1
74.0,1263,0.0,0.2533783783783784,12.5,12.0,120000.0,20000.0,2.0,0.0,0.966,2,100,0.0024752475247524753,9.859316666666667,0.0,0.3560126582278481,0.0,12.0,120000.0,20000.0,1.0,0.0,0.953,0
68.0,821,0.0,0.09191176470588235,25.0,12.0,120000.0,20000.0,3.0,0.0,0.981,2,100,0.0024752475247524753,-3.428017083333333,0.0,0.39057612916183865,0.0,12.0,120000.0,20000.0,1.0,0.0,0.948,1
57.0,2166,0.0,0.0,0.0,12.0,120000.0,0.0,0.0,0.0,0.992,2,100,0.0024752475247524753,-3.9328,0.0,0.38575479746268393,0.0,12.0,120000.0,0.0,0.0,0.0,0.944,1
70.0,822,0.0,0.13392857142857142,12.5,12.0,120000.0,20000.0,2.0,0.0,0.976,2,100,0.0024752475247524753,-3.4333170833333333,0.0,0.41915614935298756,0.0,12.0,120000.0,20000.0,1.0,0.0,0.942,1
69.0,2,0.0,0.09057971014492754,0.0,8.0,80000.0,0.0,0.0,1.0,0.979,1,100,0.0024752475247524753,-3.8921589583333325,0.0,0.5187131345635141,0.0,8.0,80000.0,0.0,0.0,1.0,0.936,1
75.0,1713,0.0,0.25,0.0,12.0,120000.0,0.0,0.0,1.0,0.963,2,100,0.0024752475247524753,9.650183333333333,0.0,0.5147058823529411,0.0,12.0,120000.0,0.0,0.0,1.0,0.937,0
59.0,2167,0.0,0.0,0.0,12.0,120000.0,0.0,0.0,0.0,0.99,2,100,0.0024752475247524753,-3.9333,0.0,0.5146452753034614,0.0,12.0,120000.0,0.0,0.0,0.0,0.934,1
74.0,824,0.0,0.2533783783783784,0.0,12.0,120000.0,20000.0,1.0,0.0,0.966,2,100,0.0024752475247524753,9.566699999999999,0.0,0.5450581395348837,0.0,12.0,120000.0,20000.0,1.0,0.0,0.934,0
77.0,1714,0.0,0.2840909090909091,0.0,12.0,120000.0,0.0,0.0,1.0,0.958,2,100,0.0024752475247524753,9.649933333333333,0.0,0.574712643678161,0.0,12.0,120000.0,0.0,0.0,1.0,0.932,0
