time,task_id,s0,s1,s2,s3,s4,s5,s6,s7,s8,action_offload,action_prb_ratio,action_prob,reward,s_next0,s_next1,s_next2,s_next3,s_next4,s_next5,s_next6,s_next7,s_next8,done
45.0,2160,0.0,0.0,0.0,12.0,120000.0,0.0,0.0,0.0,1.0,2,0.0,1.0,-4.930000000000001,0.0,0.0,0.0,12.0,120000.0,0.0,0.0,0.0,1.0,1
47.0,2161,0.0,0.0,0.0,12.0,120000.0,0.0,0.0,0.0,1.0,3,0.0,1.0,-4.930000000000001,0.0,0.0,0.0,12.0,120000.0,0.0,0.0,0.0,1.0,1
49.0,2162,0.0,0.0,0.0,12.0,120000.0,0.0,0.0,0.0,1.0,3,0.0,1.0,-4.930000000000001,0.0,0.0,0.0,12.0,120000.0,0.0,0.0,0.0,1.0,1
51.0,2163,0.0,0.0,0.0,12.0,120000.0,0.0,0.0,0.0,1.0,3,0.0,1.0,-4.930000000000001,0.0,0.0,0.0,12.0,120000.0,0.0,0.0,0.0,1.0,1
46.0,810,0.0,0.0,0.0,12.0,120000.0,20000.0,1.0,0.0,1.0,0,0.0,1.0,9.7995,0.0,0.0,25.0,12.0,120000.0,20000.0,4.0,0.0,1.0,0
53.0,2164,0.0,0.0,0.0,12.0,120000.0,0.0,0.0,0.0,1.0,3,0.0,1.0,-4.930000000000001,0.0,0.0,0.0,12.0,120000.0,0.0,0.0,0.0,1.0,1
48.0,811,0.0,0.0,12.5,12.0,120000.0,20000.0,2.0,0.0,1.0,0,0.0,1.0,9.799032916666667,0.0,0.0,25.0,12.0,120000.0,20000.0,3.0,0.0,0.999,0
50.0,812,0.0,0.0,25.0,12.0,120000.0,20000.0,3.0,0.0,1.0,0,0.0,1.0,9.799182916666666,0.0,0.0,12.5,12.0,120000.0,20000.0,2.0,0.0,0.997,0
52.0,813,0.0,0.0,25.0,12.0,120000.0,20000.0,3.0,0.0,1.0,0,0.0,1.0,9.799332916666666,0.0,0.0,0.0,12.0,120000.0,20000.0,1.0,0.0,0.995,0
67.0,1,0.0,0.0,0.0,8.0,80000.0,0.0,0.0,1.0,0.987,2,0.0,1.0,-4.93065,0.0,0.0,0.0,8.0,80000.0,0.0,0.0,1.0,0.987,1
69.0,2,0.0,0.0,0.0,8.0,80000.0,0.0,0.0,1.0,0.986,2,0.0,1.0,-4.9307,0.0,0.0,0.0,8.0,80000.0,0.0,0.0,1.0,0.986,1
69.0,1710,0.0,0.0,0.0,12.0,120000.0,0.0,0.0,1.0,0.986,1,0.0,1.0,-4.9307,0.0,0.0,0.0,12.0,120000.0,0.0,0.0,1.0,0.986,1
69.0,2172,0.0,0.0,0.0,12.0,120000.0,0.0,0.0,0.0,0.986,2,0.0,1.0,-4.9307,0.0,0.0,0.0,12.0,120000.0,0.0,0.0,0.0,0.986,1
71.0,3,0.0,0.0,0.0,8.0,80000.0,0.0,0.0,1.0,0.986,1,0.0,1.0,-4.9307,0.0,0.0,0.0,8.0,80000.0,0.0,0.0,1.0,0.986,1
71.0,2173,0.0,0.0,0.0,12.0,120000.0,0.0,0.0,0.0,0.986,2,0.0,1.0,-4.930750000000001,0.0,0.0,0.0,12.0,120000.0,0.0,0.0,0.0,0.985,1
66.0,820,0.0,0.0,0.0,12.0,120000.0,20000.0,1.0,0.0,0.987,0,0.0,1.0,9.79875,0.0,0.0,25.0,12.0,120000.0,20000.0,4.0,0.0,0.985,0
73.0,2174,0.0,0.0,0.0,12.0,120000.0,0.0,0.0,0.0,0.984,2,0.0,1.0,-4.9309,0.0,0.0,0.0,12.0,120000.0,0.0,0.0,0.0,0.982,1
